location_id,zone,degree
137,Kips Bay,300
140,Lenox Hill East,293
75,East Harlem South,287
170,Murray Hill,270
74,East Harlem North,263
138,LaGuardia Airport,261
186,Penn Station/Madison Sq West,256
237,Upper East Side South,247
48,Clinton East,244
141,Lenox Hill West,242
100,Garment District,239
263,Yorkville West,239
107,Gramercy,236
236,Upper East Side North,236
68,East Chelsea,230
162,Midtown East,229
238,Upper West Side North,225
90,Flatiron,218
234,Union Sq,217
42,Central Harlem North,214
142,Lincoln Square East,214
233,UN/Turtle Bay South,213
79,East Village,210
229,Sutton Place/Turtle Bay North,209
164,Midtown South,203
161,Midtown Center,202
230,Times Sq/Theatre District,198
239,Upper West Side South,197
264,NV,196
231,TriBeCa/Civic Center,195
262,Yorkville East,192
41,Central Harlem,192
132,JFK Airport,192
151,Manhattan Valley,190
244,Washington Heights South,188
163,Midtown North,185
50,Clinton West,182
249,West Village,180
143,Lincoln Square West,180
43,Central Park,178
113,Greenwich Village North,176
166,Morningside Heights,173
65,Downtown Brooklyn/MetroTech,167
87,Financial District North,166
148,Lower East Side,165
116,Hamilton Heights,165
88,Financial District South,162
168,Mott Haven/Port Morris,160
7,Astoria,159
114,Greenwich Village South,157
246,West Chelsea/Hudson Yards,155
97,Fort Greene,154
226,Sunnyside,151
61,Crown Heights North,151
144,Little Italy/NoLiTa,150
261,World Trade Center,149
146,Long Island City/Queens Plaza,148
224,Stuy Town/Peter Cooper Village,145
24,Bloomingdale,143
209,Seaport,140
232,Two Bridges/Seward Park,139
13,Battery Park City,136
152,Manhattanville,133
69,East Concourse/Concourse Village,131
125,Hudson Sq,131
25,Boerum Hill,128
159,Melrose South,126
4,Alphabet City,126
260,Woodside,123
193,Queensbridge/Ravenswood,122
188,Prospect-Lefferts Gardens,122
82,Elmhurst,120
211,SoHo,119
45,Chinatown,117
129,Jackson Heights,117
247,West Concourse,116
33,Brooklyn Heights,116
181,Park Slope,115
76,East New York,115
89,Flatbush/Ditmas Park,113
17,Bedford,113
95,Forest Hills,109
158,Meatpacking/West Village West,108
179,Old Astoria,108
223,Steinway,107
225,Stuyvesant Heights,107
167,Morrisania/Melrose,106
235,University Heights/Morris Heights,105
243,Washington Heights North,105
37,Bushwick South,100
49,Clinton Hill,99
145,Long Island City/Hunters Point,99
256,Williamsburg (South Side),98
127,Inwood,97
213,Soundview/Castle Hill,95
228,Sunset Park West,94
126,Hunts Point,93
119,Highbridge,92
136,Kingsbridge Heights,92
35,Brownsville,92
169,Mount Hope,91
80,East Williamsburg,88
47,Claremont/Bathgate,86
39,Canarsie,84
174,Norwood,82
78,East Tremont,80
62,Crown Heights South,79
66,DUMBO/Vinegar Hill,76
112,Greenpoint,76
242,Van Nest/Morris Park,75
92,Flushing,72
147,Longwood,71
18,Bedford Park,70
177,Ocean Hill,69
241,Van Cortlandt Village,68
70,East Elmhurst,68
254,Williamsbridge/Olinville,68
14,Bay Ridge,67
196,Rego Park,66
130,Jamaica,66
248,West Farms/Bronx River,66
182,Parkchester,66
72,East Flatbush/Remsen Village,65
220,Spuyten Duyvil/Kingsbridge,65
197,Richmond Hill,65
77,East New York/Pennsylvania Avenue,63
60,Crotona Park East,62
85,Erasmus,62
36,Bushwick North,61
20,Belmont,60
198,Ridgewood,60
195,Red Hook,60
83,Elmhurst/Maspeth,60
185,Pelham Parkway,59
217,South Williamsburg,58
189,Prospect Heights,57
22,Bensonhurst West,56
216,South Ozone Park,56
94,Fordham South,56
255,Williamsburg (North Side),55
212,Soundview/Bruckner,55
133,Kensington,54
91,Flatlands,54
56,Corona,54
208,Schuylerville/Edgewater Park,54
51,Co-Op City,54
52,Cobble Hill,53
32,Bronxdale,52
71,East Flatbush/Farragut,51
250,Westchester Village/Unionport,51
106,Gowanus,51
10,Baisley Park,50
121,Hillcrest/Pomonok,47
26,Borough Park,47
165,Midwood,46
227,Sunset Park East,45
210,Sheepshead Bay,45
55,Coney Island,44
259,Woodlawn/Wakefield,43
40,Carroll Gardens,43
157,Maspeth,43
258,Woodhaven,42
81,Eastchester,42
183,Pelham Bay,41
173,North Corona,41
63,Cypress Hills,41
16,Bayside,39
219,Springfield Gardens South,39
149,Madison,39
200,Riverdale/North Riverdale/Fieldston,38
134,Kew Gardens,38
205,Saint Albans,37
102,Glendale,37
64,Douglaston,37
215,South Jamaica,37
202,Roosevelt Island,36
21,Bensonhurst East,36
218,Springfield Gardens North,36
124,Howard Beach,35
28,Briarwood/Jamaica Hills,35
155,Marine Park/Mill Basin,34
257,Windsor Terrace,33
86,Far Rockaway,33
160,Middle Village,33
135,Kew Gardens Hills,33
191,Queens Village,32
203,Rosedale,31
171,Murray Hill-Queens,31
29,Brighton Beach,31
117,Hammels/Arverne,30
128,Inwood Hill Park,30
222,Starrett City,30
12,Battery Park,29
194,Randalls Island,29
131,Jamaica Estates,29
123,Homecrest,28
252,Whitestone,28
3,Allerton/Pelham Gardens,27
153,Marble Hill,26
139,Laurelton,26
115,Grymes Hill/Clifton,25
54,Columbia Street,23
120,Highbridge Park,21
192,Queensboro Hill,21
108,Gravesend,20
31,Bronx Park,20
190,Prospect Park,19
44,Charleston/Tottenville,18
122,Hollis,18
53,College Point,18
240,Van Cortlandt Park,18
73,East Flushing,17
180,Ozone Park,17
11,Bath Beach,17
15,Bay Terrace/Fort Totten,17
9,Auburndale,16
101,Glen Oaks,15
67,Dyker Heights,15
38,Cambria Heights,15
178,Ocean Parkway South,15
98,Fresh Meadows,14
150,Manhattan Beach,14
93,Flushing Meadows-Corona Park,14
34,Brooklyn Navy Yard,14
19,Bellerose,14
201,Rockaway Park,11
175,Oakland Gardens,9
23,Bloomfield/Emerson Hill,9
214,South Beach/Dongan Hills,9
59,Crotona Park,8
118,Heartland Village/Todt Hill,8
184,Pelham Bay Park,8
207,Saint Michaels Cemetery/Woodside,7
58,Country Club,7
6,Arrochar/Fort Wadsworth,6
57,Corona,6
1,Newark Airport,6
221,Stapleton,5
8,Astoria Park,5
156,Mariners Harbor,4
172,New Dorp/Midland Beach,4
251,Westerleigh,4
96,Forest Park/Highland Park,4
46,City Island,4
206,Saint George/New Brighton,4
245,West Brighton,3
154,Marine Park/Floyd Bennett Field,3
111,Green-Wood Cemetery,2
253,Willets Point,2
187,Port Richmond,2
5,Arden Heights,1
109,Great Kills,1
99,Freshkills Park,1
204,Rossville/Woodrow,1
